Date,ATM_ID,Location_Type,Is_Weekend,Is_Payday,Is_Festival,Withdrawals,Deposits,W_100,W_500,W_2000,D_100,D_500,D_2000,Health,Revenue,Cost,Net_Cash_Flow,Net_Flow_Lag_7,Net_Flow_Rolling_3
2024-05-06,0,Market,0,0,0,442336,395580,1327,530,22,791,593,9,97.81262538988136,2990,609,-46756,82046.0,-154219.0
2024-05-07,0,Market,0,0,0,389223,514442,1167,467,19,1028,771,12,96.08173493629428,2945,695,125219,-24900.0,-30404.0
2024-05-08,0,Market,0,0,0,465144,413755,1395,558,23,827,620,10,95.25239688171179,3145,737,-51389,-62043.0,9024.666666666666
2024-05-09,0,Market,0,0,0,331864,477333,995,398,16,954,715,11,95.09983712357261,2600,745,145469,67239.0,73099.66666666667
2024-05-10,0,Market,0,0,0,317302,475722,951,380,15,951,713,11,98.79927190610904,2525,560,158420,-161312.0,84166.66666666667
2024-05-11,0,Market,1,0,0,497596,434885,1492,597,24,869,652,10,98.27166358338069,3335,586,-62711,-246226.0,80392.66666666667
2024-05-12,0,Market,1,0,0,476991,525846,1430,572,23,1051,788,13,99.13840064399184,3425,543,48855,-169675.0,48188.0
2024-05-13,0,Market,0,0,0,378789,441942,1136,454,18,883,662,11,99.55648733121473,2755,522,63153,-46756.0,16432.333333333332
2024-05-14,0,Market,0,0,0,395718,430308,1187,474,19,860,645,10,98.17865069475963,2835,591,34590,125219.0,48866.0
2024-05-15,0,Market,0,0,0,478589,481692,1435,574,23,963,722,12,96.00294800545478,3335,699,3103,-51389.0,33615.333333333336
2024-05-16,0,Market,0,0,0,372010,490271,1116,446,18,980,735,12,95.39563799734094,2830,730,118261,145469.0,51984.666666666664
2024-05-17,0,Market,0,0,0,395506,469393,1186,474,19,938,704,11,96.2587015480817,2905,687,73887,158420.0,65083.666666666664
2024-05-18,0,Market,1,0,0,454535,452360,1363,545,22,904,678,11,97.5773850740449,3150,621,-2175,-62711.0,63324.333333333336
2024-05-19,0,Market,1,0,0,407270,545609,1221,488,20,1091,818,13,96.26264530933122,3115,686,138339,48855.0,70017.0
2024-05-20,0,Market,0,0,0,423062,494940,1269,507,21,989,742,12,97.33943257367342,3080,633,71878,63153.0,69347.33333333333
2024-05-21,0,Market,0,0,0,394883,434134,1184,473,19,868,651,10,98.78764748182635,2810,560,39251,34590.0,83156.0
2024-05-22,0,Market,0,0,0,369745,411731,1109,443,18,823,617,10,98.3896041720841,2645,580,41986,3103.0,51038.333333333336
2024-05-23,0,Market,0,0,0,374137,428085,1122,448,18,856,642,10,95.54736359630053,2700,722,53948,118261.0,45061.666666666664
2024-05-24,0,Market,0,0,0,467485,522318,1402,560,23,1044,783,13,97.50778900535471,3365,624,54833,73887.0,50255.666666666664
2024-05-25,0,Market,1,0,0,483713,438658,1451,580,24,877,657,10,96.27280262907836,3270,686,-45055,-2175.0,21242.0
2024-05-26,0,Market,1,0,0,430212,470863,1290,516,21,941,706,11,98.18458851800682,3090,590,40651,138339.0,16809.666666666668
2024-05-27,0,Market,0,0,0,437047,571651,1311,524,21,1143,857,14,95.0674237560351,3315,746,134604,71878.0,43400.0
2024-05-28,0,Market,0,0,0,344057,507022,1032,412,17,1014,760,12,99.23570430407834,2710,538,162965,39251.0,112740.0
2024-05-29,0,Market,0,0,0,373974,456617,1121,448,18,913,684,11,98.57452415653077,2760,571,82643,41986.0,126737.33333333333
2024-05-30,0,Market,0,1,0,562717,440114,1688,675,28,880,660,11,95.08810691545696,3680,745,-122603,53948.0,41001.666666666664
2024-05-31,0,Market,0,1,0,546618,436436,1639,655,27,872,654,10,95.6724643705301,3595,716,-110182,54833.0,-50047.333333333336
2024-06-01,0,Market,1,1,0,633240,516258,1899,759,31,1032,774,12,96.65678390037785,4180,667,-116982,-45055.0,-116589.0
2024-06-02,0,Market,1,1,0,678675,516066,2036,814,33,1032,774,12,98.60010453169858,4405,569,-162609,40651.0,-129924.33333333333
2024-06-03,0,Market,0,1,0,522893,507388,1568,627,26,1014,761,12,97.87281780691792,3610,606,-15505,134604.0,-98365.33333333333
2024-06-04,0,Market,0,1,0,468857,482308,1406,562,23,964,723,12,96.94689978779184,3285,652,13451,162965.0,-54887.666666666664
2024-06-05,0,Market,0,1,0,595761,400247,1787,714,29,800,600,10,97.59429949072592,3775,620,-195514,82643.0,-65856.0
2024-06-06,0,Market,0,0,0,373926,482275,1121,448,18,964,723,12,99.32792661530513,2810,533,108349,-122603.0,-24571.333333333332
2024-06-07,0,Market,0,0,0,440251,452309,1320,528,22,904,678,11,96.59248638888036,3100,670,12058,-110182.0,-25035.666666666668
2024-06-08,0,Market,1,0,0,505430,549195,1516,606,25,1098,823,13,97.94079542926366,3615,602,43765,-116982.0,54724.0
2024-06-09,0,Market,1,0,0,507699,470253,1523,609,25,940,705,11,95.17486544666744,3465,741,-37446,-162609.0,6125.666666666667
2024-06-10,0,Market,0,0,0,414845,451008,1244,497,20,902,676,11,99.0938346691717,2950,545,36163,-15505.0,14160.666666666666
2024-06-11,0,Market,0,0,0,403463,472527,1210,484,20,945,708,11,95.79085611620864,2940,710,69064,13451.0,22593.666666666668
2024-06-12,0,Market,0,0,0,413504,460229,1240,496,20,920,690,11,99.18172028567147,2970,540,46725,-195514.0,50650.666666666664
2024-06-13,0,Market,0,0,0,415778,459792,1247,498,20,919,689,11,97.3846728761544,2985,630,44014,108349.0,53267.666666666664
2024-06-14,0,Market,0,0,0,434844,464350,1304,521,21,928,696,11,95.91700280264212,3070,704,29506,12058.0,40081.666666666664
2024-06-15,0,Market,1,0,0,382170,431611,1146,458,19,863,647,10,98.49311062917928,2760,575,49441,43765.0,40987.0
2024-06-16,0,Market,1,0,0,480884,560468,1442,577,24,1120,840,14,95.50212713362716,3520,724,79584,-37446.0,52843.666666666664
2024-06-17,0,Market,0,0,0,433176,373865,1299,519,21,747,560,9,96.87881002043004,2890,656,-59311,36163.0,23238.0
2024-06-18,0,Market,0,0,0,340856,534900,1022,409,17,1069,802,13,96.02987405364853,2760,698,194044,69064.0,71439.0
2024-06-19,0,Market,0,0,0,425311,588993,1275,510,21,1177,883,14,96.05701394387735,3295,697,163682,46725.0,99471.66666666667
2024-06-20,0,Market,0,0,0,381625,439207,1144,457,19,878,658,10,96.28026853713662,2770,685,57582,44014.0,138436.0
2024-06-21,0,Market,0,0,0,402862,457072,1208,483,20,914,685,11,95.61617181619125,2910,719,54210,29506.0,91824.66666666667
2024-06-22,0,Market,1,0,0,529801,455519,1589,635,26,911,683,11,95.7677385413274,3535,711,-74282,49441.0,12503.333333333334
2024-06-23,0,Market,1,0,0,467046,433019,1401,560,23,866,649,10,99.25041286325613,3185,537,-34027,79584.0,-18033.0
2024-06-24,0,Market,0,0,0,430279,435736,1290,516,21,871,653,10,96.79426183557351,3020,660,5457,-59311.0,-34284.0
2024-06-25,0,Market,0,0,0,416537,570086,1249,499,20,1140,855,14,98.2715200324804,3215,586,153549,194044.0,41659.666666666664
2024-06-26,0,Market,0,0,0,328851,551810,986,394,16,1103,827,13,95.26358330194093,2725,736,222959,163682.0,127321.66666666667
2024-06-27,0,Market,0,0,0,411198,425976,1233,493,20,851,638,10,96.94272882282677,2900,652,14778,57582.0,130428.66666666667
2024-06-28,0,Market,0,0,0,404375,514836,1213,485,20,1029,772,12,95.38750309411353,3020,730,110461,54210.0,116066.0
2024-06-29,0,Market,1,0,0,442057,502630,1326,530,22,1005,753,12,96.96642476808572,3200,651,60573,-74282.0,61937.333333333336
2024-06-30,0,Market,1,1,0,779062,455461,2337,934,38,910,683,11,95.37215743546612,4785,731,-323601,-34027.0,-50855.666666666664
2024-07-01,0,Market,0,1,1,908247,473962,2724,1089,45,947,710,11,95.80550956777033,5465,709,-434285,5457.0,-232437.66666666666
2024-07-02,0,Market,0,1,0,563120,532521,1689,675,28,1065,798,13,98.00498648064935,3860,599,-30599,153549.0,-262828.3333333333
2024-07-03,0,Market,0,1,0,551151,459509,1653,661,27,919,689,11,99.97683988497698,3660,501,-91642,222959.0,-185508.66666666666
2024-07-04,0,Market,0,1,0,503322,400566,1509,603,25,801,600,10,95.4007219179362,3300,729,-102756,14778.0,-74999.0
2024-07-05,0,Market,0,1,0,487762,417836,1463,585,24,835,626,10,97.73891029555097,3255,613,-69926,110461.0,-88108.0
2024-07-06,0,Market,1,0,0,467539,407849,1402,561,23,815,611,10,99.11806506746888,3135,544,-59690,60573.0,-77457.33333333333
2024-07-07,0,Market,1,0,0,350549,477393,1051,420,17,954,716,11,98.18803050441683,2700,590,126844,-323601.0,-924.0
2024-07-08,0,Market,0,0,0,473958,534075,1421,568,23,1068,801,13,96.68231313991645,3410,665,60117,-434285.0,42423.666666666664
2024-07-09,0,Market,0,0,0,389244,426886,1167,467,19,853,640,10,95.01562874077027,2775,749,37642,-30599.0,74867.66666666667
2024-07-10,0,Market,0,0,0,502934,482842,1508,603,25,965,724,12,96.2501976480041,3460,687,-20092,-91642.0,25889.0
2024-07-11,0,Market,0,0,0,407923,473070,1223,489,20,946,709,11,99.04656139668167,2965,547,65147,-102756.0,27565.666666666668
2024-07-12,0,Market,0,0,0,398689,453915,1196,478,19,907,680,11,99.67145680285824,2875,516,55226,-69926.0,33427.0
2024-07-13,0,Market,1,0,0,467761,552191,1403,561,23,1104,828,13,97.79618626530886,3425,610,84430,-59690.0,68267.66666666667
2024-07-14,0,Market,1,0,0,539812,380477,1619,647,26,760,570,9,99.09035934752364,3435,545,-159335,126844.0,-6559.666666666667
2024-07-15,0,Market,0,0,0,343699,442664,1031,412,17,885,663,11,97.95632914450952,2580,602,98965,60117.0,8020.0
2024-07-16,0,Market,0,0,0,437427,541034,1312,524,21,1082,811,13,98.89013919033525,3255,555,103607,37642.0,14412.333333333334
2024-07-17,0,Market,0,0,0,428866,425805,1286,514,21,851,638,10,99.47945709007713,2975,526,-3061,-20092.0,66503.66666666667
2024-07-18,0,Market,0,0,0,379019,503489,1137,454,18,1006,755,12,98.80908609476637,2875,559,124470,65147.0,75005.33333333333
2024-07-19,0,Market,0,0,0,390386,462008,1171,468,19,924,693,11,95.72151765946857,2870,713,71622,55226.0,64343.666666666664
2024-07-20,0,Market,1,0,0,462673,535647,1388,555,23,1071,803,13,98.9750785229209,3370,551,72974,84430.0,89688.66666666667
2024-07-21,0,Market,1,0,0,508468,465141,1525,610,25,930,697,11,99.57245734572766,3455,521,-43327,-159335.0,33756.333333333336
2024-07-22,0,Market,0,0,0,413045,419946,1239,495,20,839,629,10,95.53664144461513,2880,723,6901,98965.0,12182.666666666666
2024-07-23,0,Market,0,0,0,379091,530352,1137,454,18,1060,795,13,98.10153795916366,2935,594,151261,103607.0,38278.333333333336
2024-07-24,0,Market,0,0,0,337734,509088,1013,405,16,1018,763,12,97.9529417390438,2685,602,171354,-3061.0,109838.66666666667
2024-07-25,0,Market,0,0,0,316722,561429,950,380,15,1122,842,14,95.25773346518922,2695,737,244707,124470.0,189107.33333333334
2024-07-26,0,Market,0,0,0,378203,499158,1134,453,18,998,748,12,97.56284400875244,2865,621,120955,71622.0,179005.33333333334
2024-07-27,0,Market,1,0,0,485482,487214,1456,582,24,974,730,12,99.88765345839941,3395,505,1732,72974.0,122464.66666666667
2024-07-28,0,Market,1,0,0,494774,397911,1484,593,24,795,596,9,98.710561572834,3240,564,-96863,-43327.0,8608.0
2024-07-29,0,Market,0,0,1,732302,471168,2196,878,36,942,706,11,97.37154908848657,4590,631,-261134,6901.0,-118755.0
2024-07-30,0,Market,0,1,0,529773,442641,1589,635,26,885,663,11,95.42850596719751,3505,728,-87132,151261.0,-148376.33333333334
2024-07-31,0,Market,0,1,0,570967,433038,1712,685,28,866,649,10,97.22910998742103,3710,638,-137929,171354.0,-162065.0
2024-08-01,0,Market,0,1,0,617632,502684,1852,741,30,1005,754,12,99.9450208567076,4075,502,-114948,244707.0,-113336.33333333333
